Path	Category	Size_Bytes	Lines	Git_Status	Survey_Status	Unread_Reason	Covered_In_Docs
.ai/policies/permissions.md	Docs/Tooling: AI Agent Workflows & Tasks	4138	56	untracked	đọc đầy đủ		docs/project-atlas/DEVELOPMENT.md
.ai/tasks/INDEX.md	Docs/Tooling: AI Agent Workflows & Tasks	2333	39	untracked	đọc đầy đủ		docs/project-atlas/DEVELOPMENT.md
.ai/tasks/TASK-20260907-ai-operating-layer.md	Docs/Tooling: AI Agent Workflows & Tasks	4487	64	untracked	đọc đầy đủ		docs/project-atlas/DEVELOPMENT.md
.ai/tasks/TASK_TEMPLATE.md	Docs/Tooling: AI Agent Workflows & Tasks	1700	69	untracked	đọc đầy đủ		docs/project-atlas/DEVELOPMENT.md
.ai/workflows/bugfix.md	Docs/Tooling: AI Agent Workflows & Tasks	2846	62	untracked	đọc đầy đủ		docs/project-atlas/DEVELOPMENT.md
.ai/workflows/feature.md	Docs/Tooling: AI Agent Workflows & Tasks	2811	56	untracked	đọc đầy đủ		docs/project-atlas/DEVELOPMENT.md
.ai/workflows/refactor.md	Docs/Tooling: AI Agent Workflows & Tasks	2366	47	untracked	đọc đầy đủ		docs/project-atlas/DEVELOPMENT.md
.ai/workflows/review.md	Docs/Tooling: AI Agent Workflows & Tasks	2976	44	untracked	đọc đầy đủ		docs/project-atlas/DEVELOPMENT.md
.gitattributes	Config/Legal: Project Root Configuration	133	5	tracked	đọc đầy đủ		docs/project-atlas/CONFIGURATION.md; docs/project-atlas/SECURITY_AND_LICENSE.md
.github/workflows/build-mac-engines.yml	CI/CD: GitHub Actions Workflows	2028	64	tracked	đọc đầy đủ		docs/project-atlas/BUILD_AND_RELEASE.md
.github/workflows/build-windows-runtime.yml	CI/CD: GitHub Actions Workflows	13039	227	tracked	đọc đầy đủ		docs/project-atlas/BUILD_AND_RELEASE.md
.github/workflows/release-app.yml	CI/CD: GitHub Actions Workflows	2735	106	tracked	đọc đầy đủ		docs/project-atlas/BUILD_AND_RELEASE.md
.gitignore	Config/Legal: Project Root Configuration	1957	98	tracked	đọc đầy đủ		docs/project-atlas/CONFIGURATION.md; docs/project-atlas/SECURITY_AND_LICENSE.md
AUTO_SHORT_CONFIG_NOTE_2026-09-06.md	Config/Legal: Project Root Configuration	4800	96	tracked	đọc đầy đủ		docs/project-atlas/CONFIGURATION.md; docs/project-atlas/SECURITY_AND_LICENSE.md
LICENSE	Config/Legal: Project Root Configuration	4668	135	tracked	đọc đầy đủ		docs/project-atlas/CONFIGURATION.md; docs/project-atlas/SECURITY_AND_LICENSE.md
NOTICE	Config/Legal: Project Root Configuration	539	14	tracked	đọc đầy đủ		docs/project-atlas/CONFIGURATION.md; docs/project-atlas/SECURITY_AND_LICENSE.md
README.md	Config/Legal: Project Root Configuration	7669	136	tracked	đọc đầy đủ		docs/project-atlas/CONFIGURATION.md; docs/project-atlas/SECURITY_AND_LICENSE.md
RELEASE_NOTES.md	Config/Legal: Project Root Configuration	2325	39	tracked	đọc đầy đủ		docs/project-atlas/CONFIGURATION.md; docs/project-atlas/SECURITY_AND_LICENSE.md
SESSION_CHAT_LOG.md	Config/Legal: Project Root Configuration	17467	218	tracked	đọc đầy đủ		docs/project-atlas/CONFIGURATION.md; docs/project-atlas/SECURITY_AND_LICENSE.md
THIRD-PARTY-NOTICES.txt	Config/Legal: Project Root Configuration	14458	278	tracked	đọc đầy đủ		docs/project-atlas/CONFIGURATION.md; docs/project-atlas/SECURITY_AND_LICENSE.md
build/icon.ico	Asset: Build App Icons & Graphic	75501	-1	tracked	chỉ kiểm kê	Tệp hình ảnh biểu tượng nhị phân PNG/ICO cho Electron builder	docs/project-atlas/BUILD_AND_RELEASE.md
build/icon.png	Asset: Build App Icons & Graphic	666010	-1	tracked	chỉ kiểm kê	Tệp hình ảnh biểu tượng nhị phân PNG/ICO cho Electron builder	docs/project-atlas/BUILD_AND_RELEASE.md
build/iconnew.png	Asset: Build App Icons & Graphic	1515692	-1	tracked	chỉ kiểm kê	Tệp hình ảnh biểu tượng nhị phân PNG/ICO cho Electron builder	docs/project-atlas/BUILD_AND_RELEASE.md
build/tediapros-source.png	Asset: Build App Icons & Graphic	740087	-1	tracked	chỉ kiểm kê	Tệp hình ảnh biểu tượng nhị phân PNG/ICO cho Electron builder	docs/project-atlas/BUILD_AND_RELEASE.md
distribution/runtime-inputs.json	Manifests: Release & Checksum Pins	3484	98	tracked	đọc đầy đủ		docs/project-atlas/BUILD_AND_RELEASE.md; docs/project-atlas/SECURITY_AND_LICENSE.md
distribution/separator-model-inputs.json	Manifests: Release & Checksum Pins	2542	72	tracked	đọc đầy đủ		docs/project-atlas/BUILD_AND_RELEASE.md; docs/project-atlas/SECURITY_AND_LICENSE.md
